"";"tourney_id";"tourney_name";"surface";"draw_size";"tourney_level";"match_num";"winner_id";"winner_name";"winner_hand";"winner_ht";"winner_ioc";"winner_age";"loser_id";"loser_name";"loser_hand";"loser_ht";"loser_ioc";"loser_age";"score";"best_of";"round";"minutes";"w_ace";"w_df";"w_svpt";"w_1stIn";"w_1stWon";"w_2ndWon";"w_SvGms";"w_bpSaved";"w_bpFaced";"l_ace";"l_df";"l_svpt";"l_1stIn";"l_1stWon";"l_2ndWon";"l_SvGms";"l_bpSaved";"l_bpFaced";"winner_rank";"winner_rank_points";"loser_rank";"loser_rank_points";"W1";"W2";"W3";"W4";"W5";"L1";"L2";"L3";"L4";"L5";"tourney_start_date";"year";"match_id";"Time";"y";"transformed_winner_rank";"transformed_loser_rank";"player_i_id";"player_i_name";"player_j_id";"player_j_name";"transformed_rank_i";"transformed_rank_j";"diff_transformed_rank";"age_i";"age_j";"diff_age";"height_i";"height_j";"diff_height";"w_bp_saved_ratio";"l_bp_saved_ratio";"bp_saved_ratio_i";"bp_saved_ratio_j";"diff_bp_saved_ratio";"w_bp_chances";"l_bp_chances";"w_bp_lost";"l_bp_lost";"w_bp_won";"l_bp_won";"bp_won_i";"bp_won_j";"diff_bp_won";"I_grass";"I_clay";"I_hard"
"140403";"2006-540";"Wimbledon";"Grass";"128";"Grand Slams";238;41;"Rafael Nadal";"L";185;"ESP";20;4;"Marcos Baghdatis";"R";183;"CYP";21;"6-1 7-5 6-3";5;"SF";147;4;0;103;75;52;16;14;9;9;3;2;89;49;32;19;14;6;11;2;4545;16;1494;6;7;6;NA;NA;1;5;3;NA;NA;2006-06-26;2006;"2006-540:238";11;0;7;4;4;"Marcos Baghdatis";41;"Rafael Nadal";4;7;-3;21;20;1;183;185;-2;1;0,545454545454545;0,545454545454545;1;-0,454545454545455;11;9;6;9;5;0;0;5;-5;1;0;0
"140404";"2006-540";"Wimbledon";"Grass";"128";"Grand Slams";239;19;"Roger Federer";"R";185;"SUI";24,8;41;"Rafael Nadal";"L";185;"ESP";20;"6-0 7-6(5) 6-7(2) 6-3";5;"F";178;13;1;119;83;64;20;20;1;3;9;3;127;94;64;14;19;4;10;1;7260;2;4545;6;7;6;6;NA;0;6;7;3;NA;2006-06-26;2006;"2006-540:239";12;1;8;7;19;"Roger Federer";41;"Rafael Nadal";8;7;1;24,8;20;4,8;185;185;0;0,333333333333333;0,4;0,333333333333333;0,4;-0,0666666666666667;10;3;4;1;6;2;6;2;4;1;0;0
"164656";"2007-540";"Wimbledon";"Grass";"128";"Grand Slams";170;55;"Gilles Simon";"R";183;"FRA";22,4;14;"Marin Cilic";"R";198;"CRO";18,7;"3-6 7-5 6-4 4-6 6-3";5;"R128";200;5;1;173;105;75;34;25;9;12;14;10;150;81;65;34;25;4;8;55;625;101;425;3;7;6;4;6;6;5;4;6;3;2007-06-25;2007;"2007-540:170";13;0;2,21864028647534;1,34178851724821;14;"Marin Cilic";55;"Gilles Simon";1,34178851724821;2,21864028647534;-0,876851769227135;18,7;22,4;-3,7;198;183;15;0,75;0,5;0,5;0,75;-0,25;8;12;4;9;4;3;3;4;-1;1;0;0
"164672";"2007-540";"Wimbledon";"Grass";"128";"Grand Slams";186;64;"Fernando Verdasco";"L";188;"ESP";23,6;53;"Andreas Seppi";"R";190;"ITA";23,3;"6-3 6-2 6-4";5;"R64";97;7;3;78;59;45;12;14;3;4;7;4;85;51;32;15;13;9;14;41;805;112;372;6;6;6;NA;NA;3;2;4;NA;NA;2007-06-25;2007;"2007-540:186";14;0;2,64244799538192;1,1926450779424;53;"Andreas Seppi";64;"Fernando Verdasco";1,1926450779424;2,64244799538192;-1,44980291743952;23,3;23,6;-0,300000000000001;190;188;2;0,75;0,642857142857143;0,642857142857143;0,75;-0,107142857142857;14;4;9;3;5;1;1;5;-4;1;0;0
"164714";"2007-540";"Wimbledon";"Grass";"128";"Grand Slams";228;24;"Richard Gasquet";"R";185;"FRA";21;63;"Jo-Wilfried Tsonga";"R";188;"FRA";22,1;"6-4 6-3 6-4";5;"R16";102;3;1;75;45;36;20;15;2;4;10;3;92;58;39;12;14;1;6;14;1775;110;373;6;6;6;NA;NA;4;3;4;NA;NA;2007-06-25;2007;"2007-540:228";15;1;4,1926450779424;1,21864028647534;24;"Richard Gasquet";63;"Jo-Wilfried Tsonga";4,1926450779424;1,21864028647534;2,97400479146706;21;22,1;-1,1;185;188;-3;0,5;0,166666666666667;0,5;0,166666666666667;0,333333333333333;6;4;1;2;5;2;5;2;3;1;0;0
"164718";"2007-540";"Wimbledon";"Grass";"128";"Grand Slams";232;41;"Rafael Nadal";"L";185;"ESP";21;67;"Mikhail Youzhny";"R";183;"RUS";24,9;"4-6 3-6 6-1 6-2 6-2";5;"R16";185;11;3;115;84;64;19;21;2;4;6;6;139;88;62;21;21;4;10;2;5225;13;1800;4;3;6;6;6;6;6;1;2;2;2007-06-25;2007;"2007-540:232";16;1;7;4,29956028185891;41;"Rafael Nadal";67;"Mikhail Youzhny";7;4,29956028185891;2,70043971814109;21;24,9;-3,9;185;183;2;0,5;0,4;0,5;0,4;0,1;10;4;4;2;6;2;6;2;4;1;0;0
"164720";"2007-540";"Wimbledon";"Grass";"128";"Grand Slams";234;24;"Richard Gasquet";"R";185;"FRA";21;50;"Andy Roddick";"R";188;"USA";24,8;"4-6 4-6 7-6(2) 7-6(3) 8-6";5;"QF";214;23;4;179;116;90;41;29;7;10;22;4;170;107;86;33;29;4;6;14;1775;3;3055;4;4;7;7;8;6;6;6;6;6;2007-06-25;2007;"2007-540:234";17;1;4,1926450779424;6,41503749927884;24;"Richard Gasquet";50;"Andy Roddick";4,1926450779424;6,41503749927884;-2,22239242133645;21;24,8;-3,8;185;188;-3;0,7;0,666666666666667;0,7;0,666666666666667;0,0333333333333333;6;10;4;7;2;3;2;3;-1;1;0;0
"164721";"2007-540";"Wimbledon";"Grass";"128";"Grand Slams";235;17;"Novak Djokovic";"R";188;"SRB";20;4;"Marcos Baghdatis";"R";183;"CYP";22;"7-6(4) 7-6(9) 6-7(3) 4-6 7-5";5;"QF";300;12;4;188;131;95;30;29;3;8;6;8;225;113;82;58;29;12;17;5;3010;16;1570;7;7;6;4;7;6;6;7;6;5;2007-06-25;2007;"2007-540:235";18;0;5,67807190511264;4;4;"Marcos Baghdatis";17;"Novak Djokovic";4;5,67807190511264;-1,67807190511264;22;20;2;183;188;-5;0,375;0,705882352941177;0,705882352941177;0,375;0,330882352941177;17;8;12;3;5;5;5;5;0;1;0;0
"164722";"2007-540";"Wimbledon";"Grass";"128";"Grand Slams";236;41;"Rafael Nadal";"L";185;"ESP";21;9;"Tomas Berdych";"R";196;"CZE";21,7;"7-6(1) 6-4 6-2";5;"QF";127;6;2;93;72;51;16;15;4;5;11;2;91;53;36;17;15;5;9;2;5225;11;1945;7;6;6;NA;NA;6;4;2;NA;NA;2007-06-25;2007;"2007-540:236";19;0;7;4,5405683813627;9;"Tomas Berdych";41;"Rafael Nadal";4,5405683813627;7;-2,4594316186373;21,7;21;0,699999999999999;196;185;11;0,8;0,555555555555556;0,555555555555556;0,8;-0,244444444444444;9;5;5;4;4;1;1;4;-3;1;0;0
"164723";"2007-540";"Wimbledon";"Grass";"128";"Grand Slams";237;19;"Roger Federer";"R";185;"SUI";25,8;24;"Richard Gasquet";"R";185;"FRA";21;"7-5 6-3 6-4";5;"SF";104;20;0;90;64;50;17;16;3;3;4;1;89;56;37;20;15;1;4;1;7290;14;1775;7;6;6;NA;NA;5;3;4;NA;NA;2007-06-25;2007;"2007-540:237";20;1;8;4,1926450779424;19;"Roger Federer";24;"Richard Gasquet";8;4,1926450779424;3,8073549220576;25,8;21;4,8;185;185;0;1;0,25;1;0,25;0,75;4;3;1;3;3;0;3;0;3;1;0;0
"164725";"2007-540";"Wimbledon";"Grass";"128";"Grand Slams";239;19;"Roger Federer";"R";185;"SUI";25,8;41;"Rafael Nadal";"L";185;"ESP";21;"7-6(7) 4-6 7-6(3) 2-6 6-2";5;"F";225;24;3;156;111;79;28;25;7;11;1;2;167;118;81;28;25;5;8;1;7290;2;5225;7;4;7;2;6;6;6;6;6;2;2007-06-25;2007;"2007-540:239";21;1;8;7;19;"Roger Federer";41;"Rafael Nadal";8;7;1;25,8;21;4,8;185;185;0;0,636363636363636;0,625;0,636363636363636;0,625;0,0113636363636364;8;11;5;7;3;4;3;4;-1;1;0;0
"190760";"2008-540";"Wimbledon";"Grass";"128";"Grand Slams";221;24;"Richard Gasquet";"R";185;"FRA";22;55;"Gilles Simon";"R";183;"FRA";23,4;"6-3 6-3 6-7(3) 6-3";5;"R32";151;14;2;133;83;60;23;20;2;6;5;3;123;75;44;23;19;2;10;10;1610;29;1030;6;6;6;6;NA;3;3;7;3;NA;2008-06-23;2008;"2008-540:221";22;1;4,67807190511264;3,14201900487243;24;"Richard Gasquet";55;"Gilles Simon";4,67807190511264;3,14201900487243;1,53605290024021;22;23,4;-1,4;185;183;2;0,333333333333333;0,2;0,333333333333333;0,2;0,133333333333333;10;6;2;2;8;4;8;4;4;1;0;0
"190770";"2008-540";"Wimbledon";"Grass";"128";"Grand Slams";231;40;"Andy Murray";"R";190;"GBR";21,1;24;"Richard Gasquet";"R";185;"FRA";22;"5-7 3-6 7-6(3) 6-2 6-4";5;"R16";238;15;6;187;103;78;43;25;15;18;12;6;188;114;85;32;26;11;15;11;1555;10;1610;5;3;7;6;6;7;6;6;2;4;2008-06-23;2008;"2008-540:231";23;0;4,5405683813627;4,67807190511264;24;"Richard Gasquet";40;"Andy Murray";4,67807190511264;4,5405683813627;0,137503523749936;22;21,1;0,899999999999999;185;190;-5;0,833333333333333;0,733333333333333;0,733333333333333;0,833333333333333;-0,1;15;18;11;15;4;3;3;4;-1;1;0;0
"190771";"2008-540";"Wimbledon";"Grass";"128";"Grand Slams";232;41;"Rafael Nadal";"L";185;"ESP";22;67;"Mikhail Youzhny";"R";183;"RUS";25,9;"6-3 6-3 6-1";5;"R16";131;3;1;70;49;38;13;13;3;4;4;5;95;60;35;12;12;10;16;2;5755;17;1305;6;6;6;NA;NA;3;3;1;NA;NA;2008-06-23;2008;"2008-540:232";24;1;7;3,91253715874966;41;"Rafael Nadal";67;"Mikhail Youzhny";7;3,91253715874966;3,08746284125034;22;25,9;-3,9;185;183;2;0,75;0,625;0,75;0,625;0,125;16;4;10;3;6;1;6;1;5;1;0;0
"190775";"2008-540";"Wimbledon";"Grass";"128";"Grand Slams";236;41;"Rafael Nadal";"L";185;"ESP";22;40;"Andy Murray";"R";190;"GBR";21,1;"6-3 6-2 6-4";5;"QF";115;4;1;66;41;36;20;14;0;0;5;2;91;46;31;18;13;6;10;2;5755;11;1555;6;6;6;NA;NA;3;2;4;NA;NA;2008-06-23;2008;"2008-540:236";25;0;7;4,5405683813627;40;"Andy Murray";41;"Rafael Nadal";4,5405683813627;7;-2,4594316186373;21,1;22;-0,899999999999999;190;185;5;1,5;0,6;0,6;1,5;-0,9;10;0;6;0;4;0;0;4;-4;1;0;0
"190778";"2008-540";"Wimbledon";"Grass";"128";"Grand Slams";239;41;"Rafael Nadal";"L";185;"ESP";22;19;"Roger Federer";"R";185;"SUI";26,8;"6-4 6-4 6-7(5) 6-7(8) 9-7";5;"F";288;6;3;218;160;111;34;30;12;13;25;2;195;127;92;39;30;9;13;2;5755;1;6900;6;6;6;6;9;4;4;7;7;7;2008-06-23;2008;"2008-540:239";26;0;7;8;19;"Roger Federer";41;"Rafael Nadal";8;7;1;26,8;22;4,8;185;185;0;0,923076923076923;0,692307692307692;0,692307692307692;0,923076923076923;-0,230769230769231;13;13;9;12;4;1;1;4;-3;1;0;0
"216673";"2009-540";"Wimbledon";"Grass";"128";"Grand Slams";128;50;"Andy Roddick";"R";188;"USA";26,8;13;"Jeremy Chardy";"R";188;"FRA";22,3;"6-3 7-6(3) 4-6 6-3";5;"R128";132;21;1;106;76;68;18;21;1;3;14;6;120;63;51;29;19;7;10;6;4310;41;1187;6;7;4;6;NA;3;6;6;3;NA;2009-06-22;2009;"2009-540:128";27;0;5,41503749927884;2,64244799538192;13;"Jeremy Chardy";50;"Andy Roddick";2,64244799538192;5,41503749927884;-2,77258950389693;22,3;26,8;-4,5;188;188;0;0,333333333333333;0,7;0,7;0,333333333333333;0,366666666666667;10;3;7;1;3;2;2;3;-1;1;0;0
"216741";"2009-540";"Wimbledon";"Grass";"128";"Grand Slams";196;14;"Marin Cilic";"R";198;"CRO";20,7;47;"Sam Querrey";"R";198;"USA";21,7;"4-6 7-6(3) 6-3 6-7(4) 6-4";5;"R64";204;13;9;185;108;83;42;27;12;15;24;3;154;107;83;24;26;3;7;13;2710;47;1140;4;7;6;6;6;6;6;3;7;4;2009-06-22;2009;"2009-540:196";28;1;4,29956028185891;2,44541114832236;14;"Marin Cilic";47;"Sam Querrey";4,29956028185891;2,44541114832236;1,85414913353654;20,7;21,7;-1;198;198;0;0,8;0,428571428571429;0,8;0,428571428571429;0,371428571428571;7;15;3;12;4;3;4;3;1;1;0;0
"216769";"2009-540";"Wimbledon";"Grass";"128";"Grand Slams";224;19;"Roger Federer";"R";185;"SUI";27,8;31;"Philipp Kohlschreiber";"R";178;"GER";25,6;"6-3 6-2 6-7(5) 6-1";5;"R32";151;15;2;126;87;66;20;19;5;7;5;4;126;81;50;20;17;15;22;2;10620;32;1540;6;6;6;6;NA;3;2;7;1;NA;2009-06-22;2009;"2009-540:224";29;1;7;3;19;"Roger Federer";31;"Philipp Kohlschreiber";7;3;4;27,8;25,6;2,2;185;178;7;0,714285714285714;0,681818181818182;0,714285714285714;0,681818181818182;0,0324675324675325;22;7;15;5;7;2;7;2;5;1;0;0
"216772";"2009-540";"Wimbledon";"Grass";"128";"Grand Slams";227;40;"Andy Murray";"R";190;"GBR";22,1;66;"Stan Wawrinka";"R";183;"SUI";24,2;"2-6 6-3 6-3 5-7 6-3";5;"R16";237;8;4;150;82;61;38;24;10;14;17;3;162;104;67;29;23;6;11;3;9230;18;2195;2;6;6;5;6;6;3;3;7;3;2009-06-22;2009;"2009-540:227";30;1;6,41503749927884;3,83007499855769;40;"Andy Murray";66;"Stan Wawrinka";6,41503749927884;3,83007499855769;2,58496250072116;22,1;24,2;-2,1;190;183;7;0,714285714285714;0,545454545454545;0,714285714285714;0,545454545454545;0,168831168831169;11;14;6;10;5;4;5;4;1;1;0;0
"216782";"2009-540";"Wimbledon";"Grass";"128";"Grand Slams";237;50;"Andy Roddick";"R";188;"USA";26,8;40;"Andy Murray";"R";190;"GBR";22,1;"6-4 4-6 7-6(7) 7-6(5)";5;"SF";187;21;1;137;102;79;18;22;5;7;25;5;146;75;62;38;22;3;5;6;4310;3;9230;6;4;7;7;NA;4;6;6;6;NA;2009-06-22;2009;"2009-540:237";31;0;5,41503749927884;6,41503749927884;40;"Andy Murray";50;"Andy Roddick";6,41503749927884;5,41503749927884;1;22,1;26,8;-4,7;190;188;2;0,714285714285714;0,6;0,6;0,714285714285714;-0,114285714285714;5;7;3;5;2;2;2;2;0;1;0;0
"216784";"2009-540";"Wimbledon";"Grass";"128";"Grand Slams";239;19;"Roger Federer";"R";185;"SUI";27,8;50;"Andy Roddick";"R";188;"USA";26,8;"5-7 7-6(6) 7-6(5) 3-6 16-14";5;"F";256;50;4;197;127;113;42;37;3;5;27;4;239;169;140;31;38;6;7;2;10620;6;4310;5;7;7;3;16;7;6;6;6;14;2009-06-22;2009;"2009-540:239";32;1;7;5,41503749927884;19;"Roger Federer";50;"Andy Roddick";7;5,41503749927884;1,58496250072116;27,8;26,8;1;185;188;-3;0,6;0,857142857142857;0,6;0,857142857142857;-0,257142857142857;7;5;6;3;1;2;1;2;-1;1;0;0
"241231";"2010-540";"Wimbledon";"Grass";"128";"Grand Slams";145;20;"Fabio Fognini";"R";178;"ITA";23;64;"Fernando Verdasco";"L";188;"ESP";26,5;"7-6(9) 6-2 6-7(6) 6-4";5;"R128";174;5;8;141;86;67;35;21;1;1;9;8;140;80;62;31;21;2;5;80;635;9;3645;7;6;6;6;NA;6;2;7;4;NA;2010-06-21;2010;"2010-540:145";33;1;1,67807190511264;4,83007499855769;20;"Fabio Fognini";64;"Fernando Verdasco";1,67807190511264;4,83007499855769;-3,15200309344505;23;26,5;-3,5;178;188;-10;1;0,4;1;0,4;0,6;5;1;2;1;3;0;3;0;3;1;0;0
"241262";"2010-540";"Wimbledon";"Grass";"128";"Grand Slams";176;41;"Rafael Nadal";"L";185;"ESP";24;42;"Kei Nishikori";"R";178;"JPN";20,4;"6-2 6-4 6-4";5;"R128";125;8;3;78;54;44;13;14;2;3;4;8;105;66;47;13;14;8;13;1;8745;189;247;6;6;6;NA;NA;2;4;4;NA;NA;2010-06-21;2010;"2010-540:176";34;1;8;0,437757575778927;41;"Rafael Nadal";42;"Kei Nishikori";8;0,437757575778927;7,56224242422107;24;20,4;3,6;185;178;7;0,666666666666667;0,615384615384615;0,666666666666667;0,615384615384615;0,0512820512820512;13;3;8;2;5;1;5;1;4;1;0;0
"241265";"2010-540";"Wimbledon";"Grass";"128";"Grand Slams";179;36;"Feliciano Lopez";"L";188;"ESP";28,7;8;"Ricardas Berankis";"R";175;"LTU";20;"7-5 4-6 6-3 6-4";5;"R64";147;25;3;112;60;54;32;21;1;2;19;4;118;74;54;26;20;5;8;30;1455;156;322;7;4;6;6;NA;5;6;3;4;NA;2010-06-21;2010;"2010-540:179";35;0;3,09310940439148;0,714597781137751;8;"Ricardas Berankis";36;"Feliciano Lopez";0,714597781137751;3,09310940439148;-2,37851162325373;20;28,7;-8,7;175;188;-13;0,5;0,625;0,625;0,5;0,125;8;2;5;1;3;1;1;3;-2;1;0;0
"241294";"2010-540";"Wimbledon";"Grass";"128";"Grand Slams";208;41;"Rafael Nadal";"L";185;"ESP";24;26;"Robin Haase";"R";190;"NED";23,2;"5-7 6-2 3-6 6-0 6-3";5;"R64";142;5;2;107;73;62;23;22;0;2;28;2;111;76;57;16;22;4;10;1;8745;151;330;5;6;3;6;6;7;2;6;0;3;2010-06-21;2010;"2010-540:208";36;0;8;0,761595260674921;26;"Robin Haase";41;"Rafael Nadal";0,761595260674921;8;-7,23840473932508;23,2;24;-0,800000000000001;190;185;5;0;0,4;0,4;0;0,4;10;2;4;0;6;2;2;6;-4;1;0;0
"241306";"2010-540";"Wimbledon";"Grass";"128";"Grand Slams";220;40;"Andy Murray";"R";190;"GBR";23,1;55;"Gilles Simon";"R";183;"FRA";25,4;"6-1 6-4 6-4";5;"R32";110;15;1;72;47;39;18;14;0;0;2;2;91;49;32;19;13;5;9;4;5155;32;1305;6;6;6;NA;NA;1;4;4;NA;NA;2010-06-21;2010;"2010-540:220";37;1;6;3;40;"Andy Murray";55;"Gilles Simon";6;3;3;23,1;25,4;-2,3;190;183;7;1,5;0,555555555555556;1,5;0,555555555555556;0,944444444444444;9;0;5;0;4;0;4;0;4;1;0;0
"241316";"2010-540";"Wimbledon";"Grass";"128";"Grand Slams";230;40;"Andy Murray";"R";190;"GBR";23,1;47;"Sam Querrey";"R";198;"USA";22,7;"7-5 6-3 6-4";5;"R16";126;10;3;95;43;36;33;16;7;8;13;9;115;75;53;15;15;8;12;4;5155;21;1775;7;6;6;NA;NA;5;3;4;NA;NA;2010-06-21;2010;"2010-540:230";38;1;6;3,60768257722124;40;"Andy Murray";47;"Sam Querrey";6;3,60768257722124;2,39231742277876;23,1;22,7;0,400000000000002;190;198;-8;0,875;0,666666666666667;0,875;0,666666666666667;0,208333333333333;12;8;8;7;4;1;4;1;3;1;0;0
